Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95
1980,1,32.8,26.2,39.2,24.2,41.2,23.2,42.2,1,2.3,1.3,2.6,1.3,3.3,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0,2.6,1.3,3.3,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,1.5,1.8,1.2,2,0.9,2.3,1,1.2,0.9,1.2,0.6,1.5,0.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6,2.2,2.8,1.6,2.8,1.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,1.4,1.9,1.1,2.2,0,2.7
1983,1,7.7,8.1,11.4,7.5,12.5,7,13,2,8.1,7.3,10,6.8,10.6,6.5,10.8,1,5.2,4.2,6.2,4.2,6.5,3.9,6.5,0,0,0,0,0,0,0,0,1,7.8,5.5,7.8,4.9,8.1,4.7,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6,2.5,1.2,1.9,2.7,1.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,2.4,3.1,2.2,3.4,1.9,3.6,0,0,0,0,0,0,0,0,3,8.8,5.7,8.7,5.5,9.1,5.1,9.7,0,0,0,0,0,0,0,0,1,2,2.2,2.2,1.9,2.4,1.9,2.4
1986,1,4.2,4.6,6,4.4,6.5,4.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.9,1.2,0.9,1.4,0.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,44,33.4,53.5,31,55.9,29.9,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,6.3,6.5,8.4,6.3,8.8,6.1,9,0,0,0,0,0,0,0,0,1,4.2,3.2,5.3,3.2,5.3,2.9,5.5,1,1.2,1.1,1.3,1.1,1.3,0.8,1.5,1,18.9,17,19.7,16.4,20.4,16.2,20.8,0,0,0,0,0,0,0,0,1,1.4,1.3,1.7,1.3,1.7,1.3,1.9
1990,0,0,0,0,0,0,0,0,1,2,1.8,2.4,1.8,2.6,1.6,2.6,1,6.8,5.2,8.4,5,8.6,4.8,8.8,1,1.6,1.6,2,1.6,2.2,1.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,5.7,5.7,7.4,5.5,7.7,5.3,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.1,1.3,0.9,1.5,0.9,1.5,1,2.8,2.1,2.8,1.9,2.8,1.9,3,1,6.2,4.9,7.2,4.7,7.6,4.3,7.9,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.9,5.8,6.8,5.8,7.4,5.2,7.4,2,55.4,49.5,60.2,47.7,62.1,46.8,63.5,0,0,0,0,0,0,0,0,1,4.6,3.5,4.4,3.3,4.6,3.3,4.8
1993,1,2.2,2.3,2.7,2.1,2.8,2.1,2.8,1,37.3,26.3,35.6,24.7,37.2,23.7,38.4,0,0,0,0,0,0,0,0,1,1.1,0.9,1.1,0.9,1.2,0.7,1.2,0,0,0,0,0,0,0,0,1,2.4,1.8,2.5,1.8,2.7,1.6,2.8,1,9.8,9.1,10.5,8.9,10.9,8.7,11
1994,0,0,0,0,0,0,0,0,1,1.7,1.7,2.4,1.6,2.6,1.6,2.8,0,0,0,0,0,0,0,0,1,1.7,1.6,1.7,1.6,1.9,1.4,1.9,1,1.7,1.6,2.1,1.4,2.1,1.4,2.1,1,1.3,1,1.6,1,1.7,0.9,1.7,2,7,6.1,7.7,5.9,7.9,5.7,7.9
1995,0,0,0,0,0,0,0,0,1,4.2,2.7,4.1,2.4,4.4,2.4,4.4,0,0,0,0,0,0,0,0,1,9.3,7.1,9.6,6.6,10.1,6.3,10.6,3,12.8,11.9,15.1,11.5,16.4,11.1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,3,2.8,3.8,2.8,4.1,2.6,4.3,1,1.7,1.5,2.3,1.5,2.3,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3,7.6,9.7,7.1,10.2,6.8,10.6,0,0,0,0,0,0,0,0,1,5,4,5.4,3.8,5.8,3.8,5.9
1997,0,0,0,0,0,0,0,0,2,10.7,9.9,14.6,9.3,15.2,8.9,15.5,0,0,0,0,0,0,0,0,1,1.6,1.4,1.8,1.4,1.8,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,5.5,4.7,5.8,4.6,6.1,4.4,6.3,1,1.5,1.3,1.9,1.3,2,1.1,2,1,3.9,3.1,4.7,3,4.9,3,4.9,3,6,5.4,6.3,5.1,6.6,5.1,6.9,3,12,10.3,13.5,9.8,14.4,9.6,14.8,0,0,0,0,0,0,0,0,1,2.2,1.7,2.2,1.7,2.4,1.6,2.5
1999,1,3.9,3.6,4.2,3.4,4.2,3.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,2.6,3.4,2.6,3.6,2.5,3.6,1,10.1,8.8,10.9,8.5,11.3,8.2,11.6,0,0,0,0,0,0,0,0,2,3,2.8,3.5,2.6,3.7,2.5,4.1
2000,1,7.5,7.1,8.2,6.8,8.5,6.6,8.6,1,1.4,0.8,1.5,1.1,1.7,0.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1.5,1.8,1.5,1.8,1.4,2,1,1.1,0.9,1.2,0.8,1.2,0.8,1.4
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,4.2,4.8,4.2,4.9,4.1,5.1,1,12.4,10.4,13.2,10,13.9,9.7,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,13,13,14.3,12.7,14.5,12.5,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.7,3,2.7,3.2,2.6,3.2,1,1.6,1.6,1.9,1.4,2,1.4,2,1,1.9,1.4,1.7,1.4,1.7,1.3,1.9,0,0,0,0,0,0,0,0
2003,1,7,6.4,7.1,6.3,7.3,6.2,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.2,10.1,12.6,9.6,13,9.3,13.5,1,7.7,6.6,8,6.3,8.4,6.3,8.5,1,5.4,4.6,5.7,4.5,6,4.3,6.3,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1.2,1.5,1.2,1.5,1.1,1.6,4,73.7,66.1,78.8,64.1,81.5,63.2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,2,2,2.3,1.9,2.3,1.9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.1,1.2,1.1,1.2,0.9,1.2,4,219.5,184.1,239.8,174.9,253.5,169.2,262.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,7.7,7.2,8.3,7,8.6,6.9,8.7,1,1.9,1.8,2.7,1.7,2.9,1.5,3.1,0,0,0,0,0,0,0,0,4,8,7.5,8.5,7.2,8.6,7,9,0,0,0,0,0,0,0,0,1,1.9,1.7,1.9,1.7,1.9,1.5,2.2,0,0,0,0,0,0,0,0
2007,1,4.5,4.4,4.9,4.3,5,4.3,5,0,0,0,0,0,0,0,0,2,4.4,3.8,4.9,3.7,5.2,3.6,5.2,1,3.2,2.8,3.2,2.6,3.2,2.6,3.3,0,0,0,0,0,0,0,0,1,3.5,3.3,3.8,3.2,3.9,3,4.2,0,0,0,0,0,0,0,0
2008,1,8.4,7.9,9,7.7,9.4,7.6,9.5,1,12,9.4,11.8,8.9,12.2,8.6,12.5,0,0,0,0,0,0,0,0,6,10.9,10.3,11.7,9.9,11.9,9.4,12.1,3,44.7,41,48.1,39.8,49.6,39.2,50.6,1,1.5,1.4,1.7,1.3,1.7,1.2,1.8,0,0,0,0,0,0,0,0
2009,1,4.2,4.1,5,4,5.3,3.8,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.6,8,8.7,7.8,8.9,7.6,9,0,0,0,0,0,0,0,0,1,1.2,1.1,1.3,1.1,1.4,1,1.4,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,2,4.9,3.5,5.1,3.3,5.3,3.2,5.6,0,0,0,0,0,0,0,0,4,10.5,10.3,11.9,9.9,12.2,9.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,13.8,12.4,14.1,12.1,14.6,12,15,2,5.7,5.6,6.6,5.3,6.9,5,7.2,0,0,0,0,0,0,0,0,9,36.1,33.3,38.8,32.5,40.4,31.2,42.1,2,18.4,16.1,20,15.6,20.9,15.4,21.4,1,2.1,1.7,2.3,1.6,2.4,1.5,2.5,1,2.1,1.7,2.1,1.6,2.2,1.6,2.3
2012,1,33.6,32.4,36.3,31.7,37.3,31.2,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18.3,16.9,18.8,16.5,19.3,16.5,19.6,2,75.9,63,83.1,59.7,87.6,57.8,90.2,1,1.9,1.7,2.1,1.7,2.2,1.6,2.4,0,0,0,0,0,0,0,0
2013,1,11.5,10.9,12.5,10.6,12.9,10.3,13.2,2,2.9,2.5,3.5,2.3,3.8,2.3,3.9,0,0,0,0,0,0,0,0,6,10.7,9.9,11.2,9.8,11.5,9.7,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,4.3,4.5,5.8,4.3,6.1,4.1,6.3,1,1.1,1.1,1.3,0.9,1.3,0.9,1.3,0,0,0,0,0,0,0,0,5,11.1,10.3,11.3,10.2,11.6,10.2,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,2.3,2.6,2.1,2.7,2,2.8
2015,1,4.9,4.4,6.2,4.1,6.8,3.9,7.1,2,4.9,4,5,3.8,5.2,3.7,5.5,0,0,0,0,0,0,0,0,5,7.9,7.4,8.5,7.2,8.8,7,9,0,0,0,0,0,0,0,0,1,3.3,3.1,3.5,2.9,3.5,2.9,3.6,1,3.2,3.2,3.4,3.1,3.5,2.9,3.6
2016,1,3.7,2.6,4.1,2.4,4.3,2.1,4.5,4,17.1,13.3,20,12.5,21.1,11.6,21.9,0,0,0,0,0,0,0,0,8,15.5,13.7,16.1,13.1,16.4,13,17,1,10.7,7.9,11.7,7.7,12,7.5,12.3,1,2.6,2.2,2.7,2.1,2.7,2.1,2.8,0,0,0,0,0,0,0,0
2017,1,2.6,2,2.8,1.9,3,1.8,3.1,2,3.3,2.6,3.8,2.4,4,2.3,4.2,1,1.1,0.8,1.2,0.8,1.3,0.7,1.3,8,17.3,16.2,18.5,15.7,19,15,19.8,3,273,220.5,316.3,198.3,347.7,185.5,360.6,1,18.5,15.2,21.1,14.6,22.7,14.4,23.2,0,0,0,0,0,0,0,0
2018,1,3,2.7,3.4,2.6,3.5,2.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.7,10.3,12.3,9.9,13.2,9.6,14,2,49.4,40.4,58.6,35.4,63.6,30.8,68.1,1,24.2,20,28.6,19.2,29.3,18.2,30.3,2,3.3,2.8,3.6,2.6,3.9,2.5,4.1
2019,0,0,0,0,0,0,0,0,1,5.2,2.1,3.9,2,4.3,1.8,5.3,0,0,0,0,0,0,0,0,1,1.2,1,1.2,1,1.3,0.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
